module_id,function_id,parameter_name,python_type,canonical_unit,display_unit,min_value,max_value,is_nullable,default_value,physical_meaning
groundhog.general.agsconversion,AGSConverter,path,float,-,-,,,False,,Path
groundhog.general.agsconversion,AGSConverter,encoding,str,-,-,,,False,utf8,Encoding
groundhog.general.agsconversion,AGSConverter,errors,str,-,-,,,False,replace,Errors
groundhog.general.agsconversion,AGSConverter,removedoublequotes,bool,-,-,,,False,True,Removedoublequotes
groundhog.general.agsconversion,AGSConverter,removeheadinglinebreaks,bool,-,-,,,False,True,Removeheadinglinebreaks
groundhog.general.agsconversion,AGSConverter,agsformat,str,-,-,,,False,4,Agsformat
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_clay,undrained_shear_strength,float,:math:`kPa`,:math:`kPa`,0.0,1.0,False,,Undrained shear strenght at the pile tip (:math:`S_u`) [:math:`kPa`]  - Suggested range: 0.0<=undrained_shear_strength<=400.0
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_clay,N_c,float,:math:`-`,:math:`-`,,,False,9.0,"Bearing capacity factor (:math:`N_c`) [:math:`-`] (optional, default=9.0) - Suggested range: 7.0<=N_c<=12.0  .. math::     q = N_c \cdot S_u"
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_sand_rp2geo,api_relativedensity,float,:math:`-`,:math:`-`,0.0,50.0,False,,"Relative density of the sand (:math:`D_r`) [:math:`-`] Options: (""Very loose"",""Loose"",""Medium dense"",""Dense"",""Very dense""), regex: None"
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_sand_rp2geo,api_soildescription,float,-,-,,,False,,Api Soildescription
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_sand_rp2geo,sigma_vo_eff,float,:math:`kPa`,:math:`kPa`,,,False,,"In-situ vertical effective stress at the pile tip (:math:`p'_{o,tip}`) [:math:`kPa`]  - Suggested range: 0.0<=vertical_effective_stress  .. math::     q = N_q \cdot p'_{o,tip}"
groundhog.deepfoundations.axialcapacity.endbearing,API_unit_end_bearing_sand_rp2geo,qb_limit,bool,-,-,,,False,False,Qb Limit
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_clay,undrained_shear_strength,float,:math:`kPa`,:math:`kPa`,0.0,1.0,False,,Undrained shear strength (:math:`S_u`) [:math:`kPa`]  - Suggested range: 0.0<=undrained_shear_strength<=400.0
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_clay,sigma_vo_eff,float,:math:`kPa`,:math:`kPa`,,,False,,In-situ vertical effective stress (:math:`p'_o(z)`) [:math:`kPa`]  - Suggested range: 0.0<=vertical_effective_stress  .. math::     f(z) = \alpha \cdot S_u      \alpha = 0.5 \cdot \psi^{-0.5} & \quad \text{for } \psi \leq 1.0      \alpha = 0.5 \cdot \psi^{-0.25} & \quad \text{for } \psi > 1.0      \psi = \frac{S_u}{p'_o(z)}
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_sand_rp2geo,api_relativedensity,float,:math:`-`,:math:`-`,0.0,50.0,False,,"Relative density of the sand (:math:`D_r`) [:math:`-`] Options: (""Very loose"",""Loose"",""Medium dense"",""Dense"",""Very dense""), regex: None"
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_sand_rp2geo,api_soildescription,float,:math:`-`,:math:`-`,,,False,,"Description of the soil type (:math:`-`) [:math:`-`] Options: (""Sand"",""Sand-silt""), regex: None"
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_sand_rp2geo,sigma_vo_eff,float,:math:`kPa`,:math:`kPa`,,,False,,In-situ vertical effective stress (:math:`p'_o`) [:math:`kPa`]  - Suggested range: 0.0<=vertical_effective_stress  .. math::     f(z) = \beta \cdot p'_o(z)
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_sand_rp2geo,fs_limit,bool,-,-,,,False,False,Fs Limit
groundhog.deepfoundations.axialcapacity.skinfriction,API_unit_shaft_friction_sand_rp2geo,tension_modifier,float,-,-,,,False,1.0,Tension Modifier
groundhog.deepfoundations.axialcapacity.axcap,AxCapCalculation,soilprofile,float,-,-,,,False,,Soilprofile
groundhog.general.soilprofile,CalculationGrid,soilprofile,float,-,-,,,False,,Soilprofile
groundhog.general.soilprofile,CalculationGrid,dz,float,-,-,0.0,10000.0,False,,Dz
groundhog.general.soilprofile,CalculationGrid,custom_nodes,float,-,-,,,True,,Custom Nodes
groundhog.general.soilprofile,CalculationGrid,include_layertransitions,bool,-,-,,,False,True,Include Layertransitions
groundhog.consolidation.dissipation.onedimensionalconsolidation,ConsolidationCalculation,height,float,-,-,0.0,10000.0,False,,Height
groundhog.consolidation.dissipation.onedimensionalconsolidation,ConsolidationCalculation,total_time,float,-,-,,,False,,Total Time
groundhog.consolidation.dissipation.onedimensionalconsolidation,ConsolidationCalculation,no_nodes,float,-,-,,,False,,No Nodes
groundhog.deepfoundations.axialcapacity.debeer,DeBeerCalculation,depth,float,-,-,0.0,10000.0,False,,Depth
groundhog.deepfoundations.axialcapacity.debeer,DeBeerCalculation,qc,float,-,-,0.0,100000000.0,False,,Qc
groundhog.deepfoundations.axialcapacity.debeer,DeBeerCalculation,diameter_pile,float,-,-,0.0,10000.0,False,,Diameter Pile
groundhog.deepfoundations.axialcapacity.debeer,DeBeerCalculation,diameter_cone,float,-,-,0.0,10000.0,False,0.0357,Diameter Cone
groundhog.constitutivemodels.cohesionless,HardeningSoil,friction_angle,float,-,-,0.0,60.0,False,,Friction Angle
groundhog.constitutivemodels.cohesionless,HardeningSoil,cohesion,float,-,-,0.0,100000000.0,False,,Cohesion
groundhog.constitutivemodels.cohesionless,HardeningSoil,Rf,float,-,-,,,False,0.9,Rf
insitutests.pcpt_processing,InsituTestProcessing,title,float,-,-,,,True,,Title
insitutests.pcpt_processing,InsituTestProcessing,waterunitweight,float,-,-,0.0,50.0,False,10.25,Waterunitweight
groundhog.deepfoundations.axialcapacity.koppejan,KoppejanCalculation,depth,float,-,-,0.0,10000.0,False,,Depth
groundhog.deepfoundations.axialcapacity.koppejan,KoppejanCalculation,qc,float,-,-,0.0,100000000.0,False,,Qc
groundhog.deepfoundations.axialcapacity.koppejan,KoppejanCalculation,diameter,float,-,-,0.0,10000.0,False,,Diameter
groundhog.deepfoundations.axialcapacity.koppejan,KoppejanCalculation,penetration,float,-,-,0.0,10000.0,False,,Penetration
groundhog.general.plotting,LogPlot,soilprofile,float,-,-,,,False,,Soilprofile
groundhog.general.plotting,LogPlot,secondaryprofile,float,-,-,,,True,,Secondaryprofile
groundhog.general.plotting,LogPlot,no_panels,int,-,-,,,False,1,No Panels
groundhog.general.plotting,LogPlot,logwidth,float,-,-,0.0,10000.0,False,0.05,Logwidth
groundhog.general.plotting,LogPlot,fillcolordict,dict,-,-,,,False,"{'Sand': 'yellow', 'Clay': 'brown', 'Rock': 'grey'}",Fillcolordict
groundhog.general.plotting,LogPlot,soiltypelegend,bool,-,-,,,False,True,Soiltypelegend
groundhog.general.plotting,LogPlot,soiltypecolumn,str,-,-,,,False,Soil type,Soiltypecolumn
groundhog.general.plotting,LogPlot,line_width,int,-,-,0.0,10000.0,False,1,Line Width
groundhog.general.plotting,LogPlotMatplotlib,soilprofile,float,-,-,,,False,,Soilprofile
groundhog.general.plotting,LogPlotMatplotlib,secondaryprofile,float,-,-,,,True,,Secondaryprofile
groundhog.general.plotting,LogPlotMatplotlib,no_panels,int,-,-,,,False,1,No Panels
groundhog.general.plotting,LogPlotMatplotlib,logwidth,float,-,-,0.0,10000.0,False,0.05,Logwidth
groundhog.general.plotting,LogPlotMatplotlib,fillcolordict,dict,-,-,,,False,"{'Sand': 'yellow', 'Clay': 'brown', 'Rock': 'grey', 'Silt': 'green'}",Fillcolordict
